L1 Code,L1 Label,L2 Code,L2 Label,"L3 
Code","L3 Label (✅ - Now, 🔸 - Next, 🔹 - Later)",Target QTR,Requirements,UI/UX Design,Tech. Design,Build / Dev,Test Strategy,QA Testing,Observability,E2E Testing,Remarks/Notes
01,Chart of Accounts (COA),01.01,"Segments, code structures",01.01.01,✅ Flexible CoA segment structure,Q425,,,,,,,,,
,,,,01.01.02,✅ Master list of unique segment codes,Q425,,,,,,,,,
,,,,01.01.03,✅ Fund-specific segment & contra accounts configuration,Q425,,,,,,,,,
,,,,01.01.04,✅ Fund is the only balancing segment,Q425,,,,,,,,,
,,,,01.01.05,✅ Component Units & fund linking,Q425,,,,,,,,,
,,,,01.01.06,✅ CoA Segment Code Imports,Q425,,,,,,,,,
,,01.02,Hierarchies and rollups,01.02.01,✅ Multiple hierarchies and rollup groups,Q425,,,,,,,,,
,,,,01.02.02,✅ OOB Default hierarchy,Q425,,,,,,,,,
,,,,01.02.03,✅ CoA Hierarchy Imports,Q425,,,,,,,,,
,,,,01.02.04,🔹 Effective-dated hierarchies/versioning,,,,,,,,,,Future advancement based on feedback.
,,01.03,Code combination validation,01.03.01,✅ Segment code combinations (CoA Creation),Q425,,,,,,,,,
,,,,01.03.02,✅ Effective-dating of CoA attributes,Q425,,,,,,,,,
,,,,01.03.03,✅ CoA Code Combination Imports,Q425,,,,,,,,,
,,,,01.03.04,✅ New segmented data entry component,Q425,,,,,,,,,
,,,,01.03.05,🔸 CoA data entry shortcuts or alias,Q226,,,,,,,,,
,,,,01.03.06,🔹 CoA combo rules and dynamic validation,,,,,,,,,,Future advancement based on feedback.
,,01.04,CoA-level security access control,01.04.01,✅ CoA segment security,"Q425, Q126",,,,,,,,,Configuration done in Q4. Enforcement of access control work will continue in Q1.
,,,,01.04.02,✅ CoA segment security Import,Q425,,,,,,,,,
,,,,01.04.03,🔸 Segment security by roles and user groups,"Q425, Q126",,,,,,,,,User group is being taken care in Q4. Roles is yet to be incorporated.
,,,,01.04.04,🔹 Negative segment security configuration,,,,,,,,,,Future advancement based on feedback.
,,,,01.04.05,🔹 Transaction line(s) masking based on access control,,,,,,,,,,Future advancement based on feedback.
,,01.05,Crosswalks and account mapping,01.05.01,✅ CoA crosswalks / mappings,"Q425, Q126",,,,,,,,,Configuration work is done in Q4. Ability to import and/or report using cross walk will continue in Q1.
,,,,01.05.02,✅ CoA crosswalks / mapping import,Q425,,,,,,,,,
,,,,01.05.03,🔹 Complex CoA crosswalk mappings (many-to-many),,,,,,,,,,Future advancement based on feedback.
,,01.06,CoA Audits,01.06.01,✅ Comprehensive Audit trail of all CoA changes,Q425,,,,,,,,,
02,Fiscal Period ,02.01,Fiscal calendar configuration,02.01.01,✅ Configurable fiscal calendar start & end,Q425,,,,,,,,,
,Management (FPM),,,02.01.02,✅ 12 Monthly periods,Q425,,,,,,,,,
,,,,02.01.03,✅ Single fiscal calendar per tenant,Q425,,,,,,,,,
